"ID","FANGM","BIEM","CHUFLY","YAOWZC","JIAJ","GONGX","ZUZ","ZHIBFF","YONGFYL","YONGYJJ","LINCYY","YAOLZY","GEJLS","BEIZ","YAOWS"
"073091","滋补肝肾汤","","《古今名方》第四章引关幼波方。","北沙参15g，白芍15g，川断15g，菟丝子15g，女贞子15g，五味子12g，首乌12g，黄精12g，当归12g，生甘草9g。","若腰痛甚，加狗脊、桑寄生各15g；盗汗多，加生牡蛎、生龙骨、浮小麦各15g，乌梅9g；失眠重，加远志、百合各12g；梦遗滑精，加芡实、补骨脂、诃子肉各12g；肝区痛重，加草河车9g，黄连4.5g。","滋补肝肾。","慢性迁延性肝炎，肝功能长期不正常，证属肝肾阴虚型者。症见腰腿痠软无力，劳累则肝区痛，睡眠多梦，精神疲倦，头晕目眩，有时盗汗，舌净无苔或舌质稍红，脉沉细弦。","","","","","","","",""
"074791","滋阴养血汤","","《临证医案医方》。","生地9g，熟地9g，当归身9g，阿胶珠12g，白芍9g，首乌9g，枸杞子12g，炒枣仁12g，柏子仁9g，天冬9g，麦冬9g，鳖甲9g，龟版9g，甘草3g。","","滋阴养血。","慢性肝炎（阴虚型）。头晕心悸，五心烦热，或易怒神疲，肝区隐痛，舌质淡，少苔，脉细弦或细数。","","","","","","方中用龟版、鳖甲、生地、天冬、麦冬等滋阴；用熟地、当归身、阿胶珠、白芍、首乌、枸杞子等以养血；用柏子仁，炒枣仁以治心悸不安，甘草调和诸药。全方配伍，共起到滋阴养血的作用。","",""
"077566","慢肝六味饮","","《千家妙方》。","太子参15g，茯苓15g，白术12g，川萆薢10g，黄皮树叶15g，甘草5g。","","健脾补气，扶土抑木。","慢性肝炎。","","每日1剂，水煎服。","","华某，女，40岁，干部。患无黄疸型传染性肝炎已一年余，不能坚持工作已数月。症见怠倦，胃纳差，胁痛，面色黄滞，唇淡，舌淡嫩，苔白厚，脉弦，肝大2.5cm，谷丙转氨酶500单位。给予服用慢肝六味饮，加扁豆12g。服药半个月后，胁痛减，精神见好，胃纳增，仍怠倦。去黄皮树叶，再进半月，谷丙转氨酶降至200单位。照上方加减服药3个月，检查正常，坚持又用药半年使疗效巩固。随访五年余，未见复发。","","","",""
"077582","慢性肝炎丸","","《北京市中成药规范》。","板蓝根50斤，甘草20斤，茵陈50斤。","","清肝消胀。","慢性肝炎，迁延性肝炎，周身无力，食欲不振，腹胀，肝区疼痛。","将药材加工洁净，取甘草、板蓝根10斤，煮提三次，时间分别为3小时、2小时、1小时；茵陈热浸二次，时间分别为2小时、1小时。合并以上药液，过滤沉淀，减压浓缩至比重1.4～1.5，温度（50℃）的稠膏。取板蓝根40斤，粉碎成细粉，过100目筛。制丸：将稠膏加入老蜜（120℃，为原粉量的一倍），趁热与药粉混合均匀，调成适宜稠度，制成小丸，待凉后用干酪素上衣即可。上衣：取干酵素100g，加3～4倍水，水浴加热，边搅边加入饱和碳酸钠溶液10～15毫升，调节pH7.5～8，过滤后再加入少量乙醇调至适当浓度即得。包糖衣。","每服15-20粒，温开水送下，1日2次。","忌各种酒类。","","","","",""
"078651","舒肝和胃汤","","《中医原著选读》引关幼波方。","旋覆花3钱，生赭石3钱，藿香3钱，佩兰3钱，焦白术3钱，酒芩3钱，白芍4钱，当归3钱，草蔻2钱，香附3钱。","若脘腹胀甚者，加沉香末5分（分次冲服）；两胁窜痛甚者，加木瓜4钱，延胡索3钱；大便于者，加瓜蒌4钱，焦四仙1两；纳少体虚，加党参5钱，云苓4钱。","舒肝和胃，养血柔肝。","慢性、迁延性肝炎，转氨酶长期不降，证属肝胃不和型者。症见恶心欲吐，呃逆嗳气，食后胃脘胀闷，有时胃痛，两胁窜痛，厌油，大便时干时稀，脉弦滑，舌苔白或黄。","","","","","","","",""
"078656","舒肝理气汤","","《临证医案医方》。","青橘叶9g，青皮9g，陈皮9g，枳壳9g，厚朴花6g，香附9g，苏梗6g，赤芍9g，白芍9g，柴胡6g，郁金9g，甘草3g。","","舒肝，理气，止痛。","慢性肝炎属气滞型。两胁窜痛，肝区脘腹胀满，舌苔白，脉弦。","","","","","","青橘叶、青皮走两胁，入肝胆，可舒肝理气；陈皮、枳壳、桔梗为一组常用理气药，善理中焦及两胁气滞；桔梗性升，枳壳性降，一升一降，气机通调，疼痛可止；芍药、柴胡柔肝舒肝，二药配合，一辛一酸，一舒一敛，一刚一柔，伍用甚妙，为治疗肝胆疾患的要药，临床可用于肝胆疾患的始终，柴胡又为肝胆经的引经药，可引诸药直达病所；郁金理血中之气，解郁止痛；芍药、甘草柔养缓急；厚朴花、香附、苏梗理气止痛。","",""
"051621","活血祛瘀汤","","《临证医案医方》。","丹参30g，当归9g，赤芍9g，鸡血藤15g，桃仁6g，玄胡9g，郁金9g，三七3g（研），香附9g，枳壳6g，广木香6g，甘草3g。","","活血，化瘀，止疼。","慢性肝炎（血瘀型），肝区刺痛，痛处不移，舌质紫，脉细涩。","","","","","","","",""
"049752","复肝丸","","《黑龙江省中草药制剂汇编》（第一集）。","胆草5kg，黄耆5kg，鸡血藤5kg，红花5kg，当归5kg，炼蜜8kg。","","活血化瘀，消炎解毒。","肝炎，肝硬化。","取红花、当归为细末；再取黄耆、胆草、鸡血藤置煎煮锅中煎煮2次，首次2小时，第2次1小时，合并煎液滤过，浓缩成稠膏状，与上末混合搅匀，烘干后粉碎过筛（应小于一百目），加炼蜜混合均匀，使柔软滋润，搓条为丸，烘干包装，丸重2钱。","每次1丸，1日2-3次。","","","","","",""
"049715","复方垂盆草糖浆","","《新医学》1974；（7）：324。","鲜垂盆草125g，平地木31g，蔗糖适量。","","降转氨酶。","慢性迁延性肝炎。","","水煎，制成糖浆100毫升。分2次服（1日量）。","","","","","",""
"042767","和肝散","","《千家妙方》卷下引马荫笃方。","全瓜蒌60g，广郁金15g，片姜黄15g，神曲15g，生甘草15g。","","清热化郁，健脾和肝。","小儿黄疽型肝炎属湿热熏蒸，胆汁外溢者。","共研细粉。","3岁小儿每服2g（可随年龄大小而增减），1日3-4次，白糖开水冲服。","","","","","",""
"042413","参茸王浆","","吉林省通化百山制药三厂方。","人参、鹿茸。","","滋补强壮。","神经衰弱，四肢无力，肝炎、贫血、骨折。","制成口服液，每支10毫升。","每日早、晚各服1支。","","","","","",""
"039872","肝病复原丹","","《赵心波儿科临床经验选编》。","银柴胡60g，川朴60g，木香30g，香附90g，桃仁60g，当归120g，三棱30g，莪术30g，姜黄90g，延胡索60g，红花30g。","","逐湿化浊，解毒化瘀，消肝脾肿，恢复肝功。","肝炎缠绵不愈，胸闷腹胀，肝脾肿大，恶心纳差，胁痛。","上为细末，炼蜜为丸，丸重10g。","青年和成人服用适宜，每服1丸，1日2次。","","","","","",""
"038544","肝炎冲剂","","《常见病的中医治疗研究》。","柴胡9g，当归9g，赤芍9g，白芍9g，陈皮9g，枳壳9g，郁金9g，香附12g，丹参15g，玄参15g，茵陈30g，板蓝根30g，败酱草30g。","","疏肝解郁，清热解毒。","传染性无黄疸型肝炎。","","","","","","","",""
"034719","补气养血汤","","《中医原著选读》引关幼波方（见《古今名方》）。","生黄耆15g，首乌15g，白芍15g，川续断15g，当归12g，丹参12g，黄精12g，生地12g，五味子12g，生甘草9g。","转氨酶长期不降，舌质红者，加土茯苓15g、大枣10枚，或土贝母15g；舌质淡者，加白芷9g；麝香草酚浊度试验和麝香草酚絮状试验长期不正常者，每日加服河车大造丸1丸；血浆蛋白倒置者，加龟版、鳖甲各12g；肝肿大，加延胡索、草河车、泽兰各9g；脾肿大，加生牡蛎15g、地龙9g；食欲不振，加山楂、白术各9g；牙出血，加小蓟、血余炭各12g。","补气养血柔肝。","慢性迁延性肝炎、早期肝硬化、肝功能长期不正常，证属气血两虚者。","","","","","","","",""
"030538","行气活血汤","","《古今名方》引关幼波方。","葛根9g，草河车9g，白芷9g，郁金9g，枳壳9g，生甘草9g，红花15g，泽兰15g，赤芍12g，白芍12g，五味子12g。","若气短心悸，加生黄耆15g；纳少腹胀，加党参15g，白术9g，焦山楂、麦芽、神曲各12g；有瘀斑，舌质绛者，加石见穿、蒲公英各15g；肝脾肿大不消，加王不留行、生牡蛎、地龙各12g；肝痛不止，加没药、五灵脂各9g。","舒肝理气，活血化瘀。","慢性肝炎，早期肝硬化，长期肝功能不正常，证属气滞血瘀型者。","","","","","","","",""
"023184","决明子粥","","《药粥疗法》引《粥谱》。","炒决明子10-15g，粳米60g，冰糖少许或加白菊花10g。","","清肝，明目，通便。","目赤肿痛，怕光多泪，头痛头晕，高血压病，高血脂症，肝炎，习惯性大便秘结。","","先把决明子放火锅内炒，至微有香气取出，待冷后煎汁，或与白菊花同煎取汁，去滓，放入粳米煮粥。","","","","","",""
"016868","四逆散","","《伤寒论》。","甘草10分（炙），枳实10分（破，水渍，炙干），柴胡10分，芍药10分。","悸者，加桂枝5分；腹中痛者，加附子1枚（炮令坼）；泄利下重者，先以水5升，煮薤白3升，煮取3升，去滓，以散3方寸匕，纳汤中，煮取1升半，分温再服。","透解郁热，疏肝理脾，调和胃气，和解表里。","少阴病，寒邪变热传里，腹中痛，小便不利，泄利下重，四肢厥逆；及肝脾不和，胸腹疼痛，泄利下重等。现常用于急慢性肝炎、急慢性胆囊炎、胆石症、胆道蛔虫症、慢性胃炎、胃溃疡、胃肠神经官能症、胰腺炎、阑尾炎、肋间神经痛及妇女月经不调、痛经、盆腔炎等属于肝郁气滞，肝脾失调者。","上为末。","每服方寸匕，白饮和服，日3次。","阴证厥逆上过于肘，下过于膝，乃不当用；如属寒厥的四肢不温不宜用，肝阴虚或中气虚寒者亦不宜用。","1.热厥：祝某，始周身骨节疼，胸腹胀满，目闭肢厥，爪甲青紫，医以伤寒治之，7日昏沉弗效。此得之怒火与痰相搏，予四逆散加芩、连泻三焦火而愈。《伤寒论译释》：诊得六脉举之有似沉细，按之数大有力，察其面青肢冷，爪甲鲜红，此火极似水，真阳证也。暂拟四逆散1服，继以大剂寒凉为合法也。春柴胡3钱，赤芍1钱5分，麸炒枳实1钱，甘草1钱。《广东医学》（1965；2：25）：龚某某，女，83岁。发热5天，头昏痛，口干苦，渴饮，大便3天未行，小便色红而短，昏眩不能起床，四肢冰冷，体温38.3℃，苔白厚，脉弦有力。属热厥。年事虽高，仍须解郁泄热，使邪去正复，厥逆自回。方用四逆散加味：柴胡2钱，白芍2钱，枳实2钱，甘草2钱，甘菊花4钱，黄芩3钱。翌晨来诊，体温已正常（36.8℃）。
2.热厥腹痛：梁某，女，22岁。1965年6月20日初诊：腹痛急暴，喜按，面色青，手足欠温，怕冷，脘腹胀满，嗳气、矢气则痛减，肠鸣，便溏，小便清利，舌苔薄白，脉沉细略弦。此为肝气不疏，气滞则血凝，气血不行，故面青、肢冷；气机不畅，则脘腹胀满，暴痛；因无食滞痞块，故喜按。治宜疏肝理气。处方：柴胡4.5g，白芍12g、枳实9g、炙甘草4.5g、木香（后下）3g、砂仁4.5g。连服2剂，腹痛消除。
3.慢性阑尾炎：果某某，女性，44岁，家庭妇女，1962年9月19日初诊。自2月前发现右下腹髂窝处作痛，每于过劳或紧张时疼痛发作，曾于某某医院诊为“慢性阑尾炎”。此次疼痛发作两天，呈交替性胀痛与牵引疼，己两天未能缓解，但无恶心呕吐。食欲睡眠二便均可，既往无其他病史。舌质正常，苔白，脉沉弦。心肺无异常。下腹回盲部明显压痛，但无抵抗紧张。证属肝气郁结，阳郁于里，不能宣达，拟舒肝和胃为治，用四逆散倍芍药。柴胡12g、枳壳6g、芍药18g、甘草6g。服下首剂之后，于右髂窝处有痛热感，翌日疼痛减轻大半，服药2剂疼痛消失，劳动亦未再发，惟偶而稍有似痛非痛之感，服药3剂后，疼痛消失未发，脉象弦消失转弱，嘱将前方隔日服1剂，服用7剂，以巩固疗效。至10月4日复查，诸自觉症状消失未复发，脉沉而缓和，遂将前方7剂共为细末，早、晚各服10g，为善后处理。
4.胆道蛔虫症：用本方加乌梅、川楝治疗胆道蛔虫51例，全部治愈出院。作者指出，本方用于木郁土壅之四肢厥逆，咳、悸、小便不利，腹中痛，泄利下重的少阴证，取柴胡升阳达表，疏肝利胆，冀其奥狄氏括约肌松驰；得芍药之酸甘能柔肝缓急而止痛；更配梅、楝之酸苦驱退蛔虫；又助枳实宽中下气，使蛔虫从大便排出。","①对心脏功能的影响《仲景学说研究与临床》（1985；l ：35）：本方对麻醉猫有显著的升压作用，对心脏泵功能的影响，主要是通过增加心室舒张时心肌纤维收缩成份延长的最大速度和增加后负荷来实现的，与去甲肾上腺素作用类似，但强度较弱，作用持续时间较长。 《仲景学说研究与临床》（1985；1：40）：四逆散水醇沉液的抗心律失常作用及其对心电图的影响：小鼠静注1.5g／kg，可明显延长P一R间期；2.Og／kg使心率减慢，并能对抗乌头碱诱发的大鼠心律失常；4.Og／kg引起I°房室传导阻滞；4.5g／kg可致T波高耸显著（P＜0.05）。腹腔注射四逆散水醇沉液15g／kg，也能降低氯仿诱发的小鼠室颤率。②对免疫功能的影响《仲景学说研究与临床》（1985；1：52）：本方水醇沉液对小鼠腹腔巨噬细胞的吞噬机能有较明显的促进作用。认为其所以能治疗阑尾脓肿和急性胆囊炎，可能与其增加机体防御机能有关。③解痉作用《仲景学说研究与临床》（1985；1：52）：本方水醇沉液对离体兔肠呈抑制作用，临床用于治疗急腹症及消化道疾病，可能与其解痉作用有关。此外，还有对抗乙酰胆碱及氯化钡所致的肠痉挛作用。④毒性试验《辽宁中医杂志》（1986；7：41）：静脉连续注射四逆散水醇沉液，研究对实验动物心脏的毒性作用。在低浓度时抗休克、升压和抗心律失常作用均显著，对心、肝、肾、脾、肺皆无毒性作用。但随浓度的升高（7.Og／kg），家兔不仅出现房室传导阻滞，同时心率减慢，S一T段下移。认为对伴有传导阻滞的休克病人应慎用，并密切观察心电图的改变。","1.《注解伤寒论》：四逆散以散传阴之热也。《内经》曰，热淫干内，佐以甘苦，以酸收之，以苦发之。枳实、甘草之甘苦，以泄里热；芍药之酸，以收阴气；柴胡之苦，以发表热。
2.《金镜内台方义》：四逆为传经之邪，自阳热已退，邪气不散，将若传阴而未入也。此只属阳，故与凉剂以治之。用甘草为君，以和其中，而行其四末；以枳实为臣，而行结滞；以芍药为佐，而行荣气；以柴胡为使，而通散表里之邪也。
3.《医学入门》：以邪渐入深，则手足渐冷，是以枳实之苦，佐甘草以泻里热；芍药之酸，以收阴气；柴胡之苦，以发表热。经曰：热淫之内，以酸收之，以苦发之是也。如咳者，肺寒气逆，下痢者，肺与大肠为表里，加五味子以收逆气，干姜以散肺寒；悸者，气虚而不能通行，心下筑筑然悸动，加桂枝以通阳气；小便不利，加茯苓以淡渗之；里虚腹痛，加附子以补虚；泄利后重，下焦气滞也，加薤白以泄气滞。
4.《医方考》：此阳邪传至少阴，里有结热，则阳气不能交接于四末，故四逆而不温。用枳实，所以破结气而除里热；用柴胡，所以升发真阳而回四逆；甘草和其不调之气；芍药收其失位之阴。
5.《张氏医通》：柴胡为来路之引经，亦藉以为去路之向导；用枳实者，扫除中道，以修整正气复回之路也。夫阴为阳扰，阳被阴埋，舍和别无良法，故又需芍药以和其营，甘草以和其胃，胃气和而真阳敷布，假证愈而厥逆自除。
6.《伤寒论三注》周扬俊：少阴至于四逆，热深而厥亦深矣。热邪内入，欲其散，非苦寒如柴胡不足以升散也；欲其泄，非苦降如枳实不足以下泄也。且阳邪入则必至于劫阴，故欲其收，非酸寒如白芍不足以收之也；合甘草以和中。仍是二味祛邪，二味辅正，无偏多偏少于其间者，邪正各为治也。
7.《伤寒大白》：本是阳症，因热邪内传阴经而厥冷，故以柴胡、白芍药疏通肝胆，伸阳气外达，则肝主四末而四肢自暖。又以枳实、甘草疏通阳明里气，伸胃阳外布，则胃主手足而手足自温。
8.《成方便读》：以柴胡自阴而达阳，邪自表而里者，仍自里而出表，使无形之邪，以此解散。然邪既自表而里，未免有形之痰食留恋。其邪结不开，邪终不能尽彻。故以枳实破结除痰，与柴胡一表一里，各得其宜。而以芍药甘草，护阴和中，相需相济，自然邪散厥回耳。","",""
"009915","五味子蜜丸","","《新医药学杂志》(1973；9)。","北五味子（陕西产，烘干或阴干）。","","降转氨酶，改善肝功能。","传染性肝炎。","上为细末，炼蜜为丸，每丸含生药6g。","成人每次服0.5～1丸(相当于生药1至2钱)。每天3次，1个月为1疗程。小儿剂量减半。谷丙转氨酶值降至正常后，可酌情减半量服用。对个别疗效不明显的病例，亦可加大剂量，每次可服1.5～2丸(相当于生药3至4钱)。","","","","","",""
